Brand Cockpit - Level 1,Brand Cockpit - Level 2,Platform,Global / Local,MU,Category,Month,Year,Data,Scenario,Value
Mirinda,Mirinda,Flavors,Global,Netherlands,Beverages,Dec,2017,NR,LY,"9,888.70"
Lipton,Lipton [green],RTD,Global,Spain,Beverages,Oct,2017,Vol,LY,"9,892.20"
Doritos,Core,Deepen Youth Footprint,Global,Spain,Snacks,Feb,2017,NR,LY,"9,895.60"
Other CSD,Slice,Flavors,Local,Italy,Beverages,Jul,2017,Vol,LY,"9,904.60"
Other CSD,Slice,Flavors,Local,Switzerland,Beverages,Jun,2017,NR,Fcst,"9,906.10"
Pardon,Cracker,Other,Local,Germany,Snacks,Aug,2017,Vol,Plan,"9,906.90"
Lay's,PC Max,Build Lays Powerbrand,Global,Switzerland,Snacks,Feb,2017,Vol,Actual,"9,911.20"
Lay's,PC Max,Build Lays Powerbrand,Global,Switzerland,Snacks,Feb,2017,Vol,Fcst,"9,911.20"
Tasty,3D (Bugles),Capture Family Fun,Local,Spain,Snacks,Oct,2017,Vol,Actual,"9,921.30"
Lay's,PC Stix,Build Lays Powerbrand,Global,Netherlands,Snacks,Apr,2017,Vol,Plan,"9,921.90"
Lay's,PC Strong,Build Lays Powerbrand,Global,Italy,Snacks,Jan,2017,Vol,Actual,"9,927.40"
Lay's,PC Strong,Build Lays Powerbrand,Global,Italy,Snacks,Jan,2017,Vol,Fcst,"9,927.40"
Other CSD,Like Cola,Flavors,Local,Portugal,Beverages,Sep,2017,NR,Actual,"9,934.40"
Lay's,PC Core,Build Lays Powerbrand,Global,Germany,Snacks,May,2017,Vol,Actual,"9,938.90"
Lay's,PC Core,Build Lays Powerbrand,Global,Germany,Snacks,May,2017,Vol,Fcst,"9,938.90"
Pepsi,Pepsi Light,Colas,Global,Spain,Beverages,Dec,2017,NR,Actual,"9,948.50"
Lay's,PC Strong,Build Lays Powerbrand,Global,Italy,Snacks,Sep,2017,Vol,Actual,"9,948.90"
Lay's,PC Stix,Build Lays Powerbrand,Global,Netherlands,Snacks,Feb,2017,Vol,Actual,"9,952.10"
Lay's,PC Stix,Build Lays Powerbrand,Global,Netherlands,Snacks,Feb,2017,Vol,Fcst,"9,952.10"
Other CSD,Slice,Flavors,Local,Italy,Beverages,Jun,2017,NR,Plan,"9,952.10"
Lay's,Scoops,Build Lays Powerbrand,Global,Spain,Snacks,Feb,2017,Vol,Actual,"9,961.20"
Lay's,Scoops,Build Lays Powerbrand,Global,Spain,Snacks,Feb,2017,Vol,Fcst,"9,961.20"
Balance,Elite Popcorn,Other,Local,Belgium,Snacks,Jan,2017,Vol,Plan,"9,964.80"
Quaker,Oats,Other,Global,Spain,Snacks,May,2017,Vol,LY,"9,976.00"
Mountain Dew,Mountain Dew,Flavors,Global,Netherlands,Beverages,Feb,2017,NR,Plan,"9,983.80"
Mountain Dew,Mountain Dew,Flavors,Global,Italy,Beverages,Feb,2017,NR,LY,"9,986.90"
Other CSD,Evervess,Flavors,Local,Italy,Beverages,Jul,2017,Vol,Actual,"9,997.90"
Quaker,Bars,Other,Global,Portugal,Snacks,Dec,2017,Vol,Fcst,"10,000.00"
Quaker,Bars,Other,Global,Portugal,Snacks,Dec,2017,Vol,Plan,"10,000.00"
Lay's,Scoops,Build Lays Powerbrand,Global,Poland,Snacks,Dec,2017,Vol,Plan,"10,002.80"
Balance,Snack A Jacks,Other,Local,Spain,Snacks,Feb,2017,NR,LY,"10,015.70"
Other CSD,Slice,Flavors,Local,Italy,Beverages,Feb,2017,NR,Plan,"10,031.90"
Other Juice,Toma Still Drink,Other,Local,Italy,Beverages,Nov,2017,NR,Actual,"10,032.50"
Lay's,PC Strong,Build Lays Powerbrand,Global,Italy,Snacks,Mar,2017,Vol,LY,"10,033.60"
Other CSD,Evervess,Flavors,Local,Italy,Beverages,Jul,2017,Vol,Fcst,"10,034.00"
Other Global,Gatorade ,Other,Global,France,Beverages,Aug,2017,Vol,Plan,"10,041.60"
Balance,Balance,Other,Local,Belgium,Snacks,Oct,2017,Vol,Fcst,"10,047.60"
Cheetos,Popcorn,Capture Family Fun,Global,Spain,Snacks,Jun,2017,NR,Actual,"10,051.30"
Cheetos,Popcorn,Capture Family Fun,Global,Spain,Snacks,Jun,2017,NR,Fcst,"10,051.30"
Other Global,Gatorade ,Other,Global,Italy,Beverages,Oct,2017,NR,Plan,"10,058.40"
