Brand Cockpit - Level 1,Brand Cockpit - Level 2,Platform,Global / Local,MU,Category,Month,Year,Data,Scenario,Value
Lay's,PC Max,Build Lays Powerbrand,Global,France,Snacks,Oct,2017,NR,LY,"-908,281.30"
Lay's,PC Max,Build Lays Powerbrand,Global,France,Snacks,Nov,2017,NR,Actual,"-889,898.70"
Chipsy,Max,Build Lays Powerbrand,Local,Germany,Snacks,Sep,2017,NR,Fcst,"-577,935.10"
Chipsy,Max,Build Lays Powerbrand,Local,Germany,Snacks,Sep,2017,NR,Actual,"-550,412.60"
Balance,Fournista,Other,Local,France,Snacks,Apr,2017,NR,Actual,"-520,634.70"
Balance,Fournista,Other,Local,France,Snacks,Feb,2017,NR,Actual,"-493,872.70"
Balance,Fournista,Other,Local,France,Snacks,Mar,2017,NR,Actual,"-490,778.70"
Balance,Fournista,Other,Local,France,Snacks,Jan,2017,NR,Actual,"-448,642.90"
Quaker,Oats,Other,Global,Belgium,Snacks,Dec,2017,NR,Plan,"-279,967.40"
Lipton,Lipton,RTD,Global,Spain,Beverages,Oct,2017,NR,Actual,"-216,418.00"
Lay's,PC Max,Build Lays Powerbrand,Global,France,Snacks,Oct,2017,Vol,LY,"-187,025.60"
Star,Popcorn,Capture Family Fun,Local,France,Snacks,Oct,2017,NR,Actual,"-107,310.90"
Star,Popcorn,Capture Family Fun,Local,France,Snacks,Feb,2017,NR,Actual,"-106,857.80"
Star,Popcorn,Capture Family Fun,Local,France,Snacks,Apr,2017,NR,Actual,"-106,013.20"
Star,Popcorn,Capture Family Fun,Local,France,Snacks,Sep,2017,NR,Actual,"-105,149.20"
Star,Popcorn,Capture Family Fun,Local,France,Snacks,Jan,2017,NR,Actual,"-93,698.60"
Star,Popcorn,Capture Family Fun,Local,France,Snacks,May,2017,NR,Actual,"-88,697.40"
Cheetos,Extruded / Pellet,Capture Family Fun,Global,Italy,Snacks,Aug,2017,NR,Actual,"-79,806.40"
Star,Popcorn,Capture Family Fun,Local,France,Snacks,Mar,2017,NR,Actual,"-75,814.20"
Star,Popcorn,Capture Family Fun,Local,France,Snacks,Jul,2017,NR,Actual,"-62,423.90"
Star,Popcorn,Capture Family Fun,Local,France,Snacks,Aug,2017,NR,Actual,"-55,830.10"
Star,Popcorn,Capture Family Fun,Local,France,Snacks,Jun,2017,NR,Actual,"-53,087.20"
Cheetos,Extruded / Pellet,Capture Family Fun,Global,Italy,Snacks,Jul,2017,NR,Actual,"-47,797.70"
Lay's,PC Stix,Build Lays Powerbrand,Global,Netherlands,Snacks,Oct,2017,NR,Actual,"-41,007.80"
Cheetos,Extruded / Pellet,Capture Family Fun,Global,Italy,Snacks,Aug,2017,NR,Actual,"-34,403.70"
Lipton,Lipton [green],RTD,Global,Spain,Beverages,Dec,2017,NR,Actual,"-27,608.00"
Krax,Krax,Capture Family Fun,Local,France,Snacks,May,2017,NR,Actual,"-24,800.40"
Other Global,Gatorade ,Other,Global,Spain,Beverages,Dec,2017,NR,LY,"-23,303.50"
Cheetos,Extruded / Pellet,Capture Family Fun,Global,Italy,Snacks,Jun,2017,NR,Actual,"-22,087.60"
Quaker,Bars,Other,Global,Portugal,Snacks,Dec,2017,NR,LY,"-19,095.50"
Quaker,Bars,Other,Global,Portugal,Snacks,Nov,2017,NR,Actual,"-16,841.10"
Cheetos,Extruded / Pellet,Capture Family Fun,Global,Italy,Snacks,Jul,2017,NR,Actual,"-16,644.20"
Lay's,Scoops,Build Lays Powerbrand,Global,Spain,Snacks,Dec,2017,NR,Actual,"-12,393.40"
Other Energy,RockStar,Energy,Local,Spain,Beverages,Dec,2017,NR,LY,"-9,247.20"
Other CSD,Evervess,Flavors,Local,Italy,Beverages,Nov,2017,NR,LY,"-8,837.70"
Lay's,PC Baked,Build Lays Powerbrand,Global,Italy,Snacks,Nov,2017,NR,Actual,"-7,779.90"
Lay's,PC Stix,Build Lays Powerbrand,Global,Netherlands,Snacks,Oct,2017,Vol,Actual,"-7,419.90"
Cheetos,Extruded / Pellet,Capture Family Fun,Global,Italy,Snacks,Jun,2017,NR,Actual,"-6,489.60"
7up,7-up - Diet,Flavors,Global,Spain,Beverages,Jan,2017,NR,Actual,"-6,089.30"
7up,7-up - Diet,Flavors,Global,Spain,Beverages,Jan,2017,NR,Fcst,"-6,089.30"
Pepsi,Pepsi Max,Colas,Global,Netherlands,Beverages,Dec,2017,NR,Actual,"-5,325.60"
7up,7-up - Diet,Flavors,Global,Spain,Beverages,Feb,2017,NR,Actual,"-4,976.80"
7up,7-up - Diet,Flavors,Global,Spain,Beverages,Feb,2017,NR,Fcst,"-4,976.80"
Mountain Dew,Mountain Dew,Flavors,Global,Spain,Beverages,Dec,2017,NR,LY,"-4,266.80"
Quaker,Bars,Other,Global,Portugal,Snacks,Feb,2017,NR,Plan,"-4,184.60"
Balance,Snack A Jacks,Other,Local,Spain,Snacks,Dec,2017,NR,LY,"-4,066.50"
Sweet,Confectionary,Other,Local,Spain,Snacks,Apr,2017,NR,Actual,"-3,375.90"
Sweet,Confectionary,Other,Local,Spain,Snacks,Apr,2017,NR,Fcst,"-3,375.90"
Mirinda,Mirinda,Flavors,Global,Portugal,Beverages,Dec,2017,NR,LY,"-3,290.80"
Other Energy,RockStar,Energy,Local,Spain,Beverages,Dec,2017,NR,Actual,"-2,615.80"
Sweet,Confectionary,Other,Local,Spain,Snacks,May,2017,NR,Actual,"-2,588.40"
Sweet,Confectionary,Other,Local,Spain,Snacks,May,2017,NR,Fcst,"-2,588.40"
7up,7-up - Diet,Flavors,Global,Spain,Beverages,Apr,2017,NR,Actual,"-1,680.20"
7up,7-up - Diet,Flavors,Global,Spain,Beverages,Apr,2017,NR,Fcst,"-1,680.20"
Lay's,Scoops,Build Lays Powerbrand,Global,Spain,Snacks,Nov,2017,NR,Actual,"-1,449.50"
Lay's,Scoops,Build Lays Powerbrand,Global,Poland,Snacks,Jun,2017,NR,Actual,"-1,314.10"
Mirinda,Mirinda,Flavors,Global,Portugal,Beverages,Aug,2017,NR,LY,"-1,285.40"
Balance,Snack A Jacks,Other,Local,Spain,Snacks,Nov,2017,NR,LY,"-1,143.00"
Sweet,Gum,Other,Local,Spain,Snacks,May,2017,NR,Actual,"-1,113.10"
Sweet,Gum,Other,Local,Spain,Snacks,May,2017,NR,Fcst,"-1,113.10"
Lay's,Scoops,Build Lays Powerbrand,Global,Poland,Snacks,May,2017,NR,Actual,"-1,096.60"
Balance,Snack A Jacks,Other,Local,Spain,Snacks,Oct,2017,NR,LY,"-1,029.00"
Lay's,Scoops,Build Lays Powerbrand,Global,Poland,Snacks,Jul,2017,NR,Actual,"-1,018.80"
Lay's,Scoops,Build Lays Powerbrand,Global,Spain,Snacks,Dec,2017,Vol,Actual,-981.6
Lay's,Scoops,Build Lays Powerbrand,Global,Poland,Snacks,Jul,2017,NR,Fcst,-963.1
Lay's,Scoops,Build Lays Powerbrand,Global,Poland,Snacks,Jun,2017,NR,Fcst,-949.9
Sweet,Confectionary,Other,Local,Spain,Snacks,Jun,2017,NR,Actual,-892.5
Sweet,Confectionary,Other,Local,Spain,Snacks,Jun,2017,NR,Fcst,-892.5
Balance,Snack A Jacks,Other,Local,Spain,Snacks,Feb,2017,NR,Actual,-863.9
Balance,Snack A Jacks,Other,Local,Spain,Snacks,Feb,2017,NR,Fcst,-863.9
Mirinda,MirindaFlav,Flavors,Global,Portugal,Beverages,Dec,2017,Vol,LY,-838.5
Other Energy,RockStar,Energy,Local,Switzerland,Beverages,Jun,2017,NR,Actual,-835.7
Balance,Snack A Jacks,Other,Local,Spain,Snacks,Jan,2017,NR,Actual,-658.1
Balance,Snack A Jacks,Other,Local,Spain,Snacks,Jan,2017,NR,Fcst,-658.1
Lay's,Scoops,Build Lays Powerbrand,Global,Poland,Snacks,May,2017,NR,Fcst,-625.7
Pepsi,Pepsi Max,Colas,Global,Netherlands,Beverages,Jan,2017,NR,LY,-622.3
Balance,Hyper,Capture Family Fun,Local,Poland,Snacks,Jul,2017,NR,LY,-577.3
Sweet,Gum,Other,Local,Spain,Snacks,Jul,2017,NR,Actual,-502.7
Sweet,Gum,Other,Local,Spain,Snacks,Jul,2017,NR,Fcst,-502.7
Sweet,Gum,Other,Local,Spain,Snacks,Jun,2017,NR,Actual,-501.4
Sweet,Gum,Other,Local,Spain,Snacks,Jun,2017,NR,Fcst,-501.4
Chipita,Sweets,Other,Local,Netherlands,Snacks,Aug,2017,NR,Actual,-489.2
Chipita,Sweets,Other,Local,Netherlands,Snacks,Aug,2017,NR,Fcst,-489.2
Lay's,Scoops,Build Lays Powerbrand,Global,Poland,Snacks,Sep,2017,NR,Actual,-438.9
Sweet,Gum,Other,Local,Spain,Snacks,Aug,2017,NR,Fcst,-437.3
Sweet,Gum,Other,Local,Spain,Snacks,Aug,2017,NR,Actual,-437.3
7up,7-up - Diet,Flavors,Global,Spain,Beverages,Dec,2017,NR,LY,-388.7
Lay's,Scoops,Build Lays Powerbrand,Global,Poland,Snacks,Aug,2017,NR,Actual,-370.1
Lay's,Scoops,Build Lays Powerbrand,Global,Poland,Snacks,Aug,2017,NR,Fcst,-332.2
Balance,Snack A Jacks,Other,Local,Spain,Snacks,Apr,2017,NR,Actual,-320.8
Balance,Snack A Jacks,Other,Local,Spain,Snacks,Apr,2017,NR,Fcst,-320.8
Twistos,3D (Bugles),Capture Family Fun,Local,Poland,Snacks,Jan,2017,NR,LY,-311.7
Sweet,Confectionary,Other,Local,Spain,Snacks,Jul,2017,NR,Actual,-307.4
Sweet,Confectionary,Other,Local,Spain,Snacks,Jul,2017,NR,Fcst,-307.4
Chipita,Sweets,Other,Local,Netherlands,Snacks,Jul,2017,NR,Actual,-306.5
Chipita,Sweets,Other,Local,Netherlands,Snacks,Jul,2017,NR,Fcst,-306.5
Chipita,Sweets,Other,Local,Netherlands,Snacks,Jun,2017,NR,Actual,-291.5
Chipita,Sweets,Other,Local,Netherlands,Snacks,Jun,2017,NR,Fcst,-291.5
Balance,Snack A Jacks,Other,Local,Spain,Snacks,Dec,2017,Vol,LY,-256.1
Chipita,Baked Rolls,Other,Local,Netherlands,Snacks,Jul,2017,NR,Actual,-226.4
Chipita,Baked Rolls,Other,Local,Netherlands,Snacks,Jul,2017,NR,Fcst,-226.4
Sweet,Confectionary,Other,Local,Spain,Snacks,Apr,2017,Vol,Actual,-190
Sweet,Confectionary,Other,Local,Spain,Snacks,Apr,2017,Vol,Fcst,-190
Lay's,Scoops,Build Lays Powerbrand,Global,Poland,Snacks,Nov,2017,NR,Actual,-163.7
Lay's,Scoops,Build Lays Powerbrand,Global,Poland,Snacks,Jul,2017,Vol,Actual,-155.4
Lay's,Scoops,Build Lays Powerbrand,Global,Poland,Snacks,Jul,2017,Vol,Fcst,-155.4
Lay's,Scoops,Build Lays Powerbrand,Global,Poland,Snacks,Oct,2017,NR,Actual,-150.2
Balance,Hyper,Capture Family Fun,Local,Poland,Snacks,Jul,2017,Vol,LY,-149.2
7up,7-up - Diet,Flavors,Global,Spain,Beverages,Jun,2017,NR,Actual,-147.2
7up,7-up - Diet,Flavors,Global,Spain,Beverages,Jun,2017,NR,Fcst,-147.2
Lay's,Scoops,Build Lays Powerbrand,Global,Poland,Snacks,Jun,2017,Vol,Actual,-146.5
Lay's,Scoops,Build Lays Powerbrand,Global,Poland,Snacks,Jun,2017,Vol,Fcst,-146.5
Sweet,Confectionary,Other,Local,Spain,Snacks,May,2017,Vol,Actual,-142.9
Sweet,Confectionary,Other,Local,Spain,Snacks,May,2017,Vol,Fcst,-142.9
Lay's,Scoops,Build Lays Powerbrand,Global,Poland,Snacks,May,2017,Vol,Actual,-141.1
Lay's,Scoops,Build Lays Powerbrand,Global,Poland,Snacks,May,2017,Vol,Fcst,-141.1
Balance,Balance,Other,Local,Belgium,Snacks,Oct,2017,Vol,Actual,-140.4
Balance,Snack A Jacks,Other,Local,Spain,Snacks,Mar,2017,NR,Actual,-138.8
Balance,Snack A Jacks,Other,Local,Spain,Snacks,Mar,2017,NR,Fcst,-138.8
Pepsi,Pepsi Light,Colas,Global,Netherlands,Beverages,Jan,2017,Vol,LY,-137.4
Lay's,Scoops,Build Lays Powerbrand,Global,Poland,Snacks,Dec,2017,NR,Actual,-131.6
Balance,Balance,Other,Local,Belgium,Snacks,May,2017,Vol,Actual,-125.7
Balance,Balance,Other,Local,Belgium,Snacks,May,2017,Vol,Fcst,-125.7
Chipita,Baked Rolls,Other,Local,Netherlands,Snacks,Jun,2017,NR,Actual,-102
Chipita,Baked Rolls,Other,Local,Netherlands,Snacks,Jun,2017,NR,Fcst,-102
Balance,Hyper,Capture Family Fun,Local,Poland,Snacks,Nov,2017,NR,Actual,-98.8
Balance,Snack A Jacks,Other,Local,Spain,Snacks,May,2017,NR,Actual,-95
Balance,Snack A Jacks,Other,Local,Spain,Snacks,May,2017,NR,Fcst,-95
Chipita,Sweets,Other,Local,Netherlands,Snacks,Aug,2017,Vol,Actual,-94.2
Chipita,Sweets,Other,Local,Netherlands,Snacks,Aug,2017,Vol,Fcst,-94.2
Chipita,Sweets,Other,Local,Netherlands,Snacks,Sep,2017,NR,Actual,-91.4
Sweet,Gum,Other,Local,Spain,Snacks,Nov,2017,NR,Actual,-85.5
Sweet,Gum,Other,Local,Spain,Snacks,Sep,2017,NR,Actual,-79
Sweet,Gum,Other,Local,Spain,Snacks,Oct,2017,NR,Actual,-78.1
Balance,Hyper,Capture Family Fun,Local,Poland,Snacks,Oct,2017,NR,Actual,-73.3
Balance,Snack A Jacks,Other,Local,Spain,Snacks,Nov,2017,Vol,LY,-71.6
Sweet,Confectionary,Other,Local,Spain,Snacks,Sep,2017,NR,Actual,-69.1
Chipita,Baked Rolls,Other,Local,Netherlands,Snacks,Aug,2017,NR,Actual,-68.4
Chipita,Baked Rolls,Other,Local,Netherlands,Snacks,Aug,2017,NR,Fcst,-68.4
Chipita,Baked Rolls,Other,Local,Netherlands,Snacks,Sep,2017,NR,Actual,-66.4
Balance,Snack A Jacks,Other,Local,Spain,Snacks,Jul,2017,NR,Actual,-66.2
Balance,Snack A Jacks,Other,Local,Spain,Snacks,Jul,2017,NR,Fcst,-66.2
Sweet,Confectionary,Other,Local,Spain,Snacks,Aug,2017,NR,Actual,-63.2
Sweet,Confectionary,Other,Local,Spain,Snacks,Aug,2017,NR,Fcst,-63.2
Lay's,Scoops,Build Lays Powerbrand,Global,Poland,Snacks,Sep,2017,Vol,Actual,-62.2
Chipita,Sweets,Other,Local,Netherlands,Snacks,Jul,2017,Vol,Actual,-62.2
Chipita,Sweets,Other,Local,Netherlands,Snacks,Jul,2017,Vol,Fcst,-62.2
Balance,Snack A Jacks,Other,Local,Spain,Snacks,Oct,2017,Vol,LY,-60.4
Chipita,Sweets,Other,Local,Netherlands,Snacks,Jun,2017,Vol,Actual,-58.4
Chipita,Sweets,Other,Local,Netherlands,Snacks,Jun,2017,Vol,Fcst,-58.4
Sweet,Confectionary,Other,Local,Spain,Snacks,Oct,2017,NR,Actual,-57.8
Chipita,Baked Rolls,Other,Local,Netherlands,Snacks,May,2017,Vol,Actual,-57.4
Chipita,Baked Rolls,Other,Local,Netherlands,Snacks,May,2017,Vol,Fcst,-57.4
Sweet,Gum,Other,Local,Spain,Snacks,Dec,2017,NR,Actual,-57.2
Balance,Snack A Jacks,Other,Local,Spain,Snacks,Feb,2017,Vol,Actual,-56.6
Balance,Snack A Jacks,Other,Local,Spain,Snacks,Feb,2017,Vol,Fcst,-56.6
Star,N&S,Capture Family Fun,Local,Poland,Snacks,Jan,2017,NR,Actual,-53.5
Lay's,Scoops,Build Lays Powerbrand,Global,Poland,Snacks,Aug,2017,Vol,Actual,-52
Lay's,Scoops,Build Lays Powerbrand,Global,Poland,Snacks,Aug,2017,Vol,Fcst,-52
Chipita,Baked Rolls,Other,Local,Netherlands,Snacks,Oct,2017,NR,Actual,-49.6
Chipita,Baked Rolls,Other,Local,Netherlands,Snacks,Jul,2017,Vol,Actual,-48.2
Chipita,Baked Rolls,Other,Local,Netherlands,Snacks,Jul,2017,Vol,Fcst,-48.2
7up,7-up - Diet,Flavors,Global,Spain,Beverages,Dec,2017,Vol,LY,-45.8
Doritos,Dippas,Deepen Youth Footprint,Global,Spain,Snacks,May,2017,NR,LY,-44.8
Lay's,PC Stix,Build Lays Powerbrand,Global,Netherlands,Snacks,Dec,2017,NR,Actual,-44.2
Sweet,Gum,Other,Local,Spain,Snacks,May,2017,Vol,Actual,-40.9
Sweet,Gum,Other,Local,Spain,Snacks,May,2017,Vol,Fcst,-40.9
Balance,Snack A Jacks,Other,Local,Spain,Snacks,Jan,2017,Vol,Actual,-39.7
Balance,Snack A Jacks,Other,Local,Spain,Snacks,Jan,2017,Vol,Fcst,-39.7
Sweet,Confectionary,Other,Local,Spain,Snacks,Jun,2017,Vol,Actual,-38
Sweet,Confectionary,Other,Local,Spain,Snacks,Jun,2017,Vol,Fcst,-38
Quaker,Bars,Other,Global,Portugal,Snacks,Mar,2017,NR,Actual,-35.7
Quaker,Bars,Other,Global,Portugal,Snacks,Mar,2017,NR,Fcst,-35.7
Balance,Hyper,Capture Family Fun,Local,Poland,Snacks,Nov,2017,Vol,Actual,-31
Balance,Snack A Jacks,Other,Local,Spain,Snacks,Nov,2017,NR,Actual,-30
Lay's,Scoops,Build Lays Powerbrand,Global,Poland,Snacks,Nov,2017,Vol,Actual,-27.3
Lay's,Scoops,Build Lays Powerbrand,Global,Poland,Snacks,Oct,2017,Vol,Actual,-24.5
Quaker,Cereals,Other,Global,France,Snacks,Jan,2017,NR,LY,-24.1
Quaker,Bars,Other,Global,Portugal,Snacks,Jul,2017,NR,LY,-22.3
Balance,Hyper,Capture Family Fun,Local,Poland,Snacks,Oct,2017,Vol,Actual,-22.1
Sweet,Confectionary,Other,Local,Spain,Snacks,Mar,2017,Vol,Actual,-22.1
Sweet,Confectionary,Other,Local,Spain,Snacks,Mar,2017,Vol,Fcst,-22.1
Chipita,Baked Rolls,Other,Local,Netherlands,Snacks,Jun,2017,Vol,Actual,-21.6
Chipita,Baked Rolls,Other,Local,Netherlands,Snacks,Jun,2017,Vol,Fcst,-21.6
Star,Pretzel / Stick,Capture Family Fun,Local,Netherlands,Snacks,May,2017,NR,LY,-21.3
Other Energy,Adrenalina Mountin Dew,Energy,Local,Poland,Beverages,Feb,2017,NR,LY,-21.1
Sweet,Gum,Other,Local,Spain,Snacks,Jun,2017,Vol,Actual,-20.4
Sweet,Gum,Other,Local,Spain,Snacks,Jun,2017,Vol,Fcst,-20.4
Star,N&S,Capture Family Fun,Local,Poland,Snacks,Nov,2017,NR,LY,-19.9
Chipita,Sweets,Other,Local,Netherlands,Snacks,Sep,2017,Vol,Actual,-18.2
Balance,Snack A Jacks,Other,Local,Spain,Snacks,Apr,2017,Vol,Actual,-17.7
Balance,Snack A Jacks,Other,Local,Spain,Snacks,Apr,2017,Vol,Fcst,-17.7
Sweet,Gum,Other,Local,Spain,Snacks,Jul,2017,Vol,Actual,-17.4
Sweet,Gum,Other,Local,Spain,Snacks,Jul,2017,Vol,Fcst,-17.4
Balance,Snack A Jacks,Other,Local,Spain,Snacks,Oct,2017,NR,Actual,-15.9
Sweet,Gum,Other,Local,Spain,Snacks,Aug,2017,Vol,Actual,-15.3
Sweet,Gum,Other,Local,Spain,Snacks,Aug,2017,Vol,Fcst,-15.3
Doritos,Dippas,Deepen Youth Footprint,Global,Spain,Snacks,Apr,2017,NR,LY,-14.5
Chipita,Baked Rolls,Other,Local,Netherlands,Snacks,Aug,2017,Vol,Actual,-14.1
Chipita,Baked Rolls,Other,Local,Netherlands,Snacks,Sep,2017,Vol,Actual,-14.1
Chipita,Baked Rolls,Other,Local,Netherlands,Snacks,Aug,2017,Vol,Fcst,-14.1
Star,Pretzel / Stick,Capture Family Fun,Local,Netherlands,Snacks,Jun,2017,NR,LY,-13.4
Doritos,Fritos,Deepen Youth Footprint,Global,Spain,Snacks,Dec,2017,NR,Actual,-11.2
Doritos,Dippas,Deepen Youth Footprint,Global,Spain,Snacks,Feb,2017,NR,LY,-11
Chipita,Baked Rolls,Other,Local,Netherlands,Snacks,Oct,2017,Vol,Actual,-10
Sweet,Confectionary,Other,Local,Spain,Snacks,Jul,2017,Vol,Actual,-9.9
Sweet,Confectionary,Other,Local,Spain,Snacks,Jul,2017,Vol,Fcst,-9.9
Balance,Balance,Other,Local,Belgium,Snacks,Jun,2017,Vol,Actual,-9.6
Balance,Balance,Other,Local,Belgium,Snacks,Jun,2017,Vol,Fcst,-9.6
7up,7-up - Diet,Flavors,Global,Spain,Beverages,May,2017,NR,Actual,-8.4
7up,7-up - Diet,Flavors,Global,Spain,Beverages,May,2017,NR,Fcst,-8.4
Balance,Snack A Jacks,Other,Local,Spain,Snacks,Mar,2017,Vol,Actual,-8.2
Balance,Snack A Jacks,Other,Local,Spain,Snacks,Mar,2017,Vol,Fcst,-8.2
Other CSD,Slice,Flavors,Local,Poland,Beverages,Jan,2017,NR,Actual,-7.8
Other CSD,Slice,Flavors,Local,Poland,Beverages,Jan,2017,NR,Fcst,-7.8
Other Energy,Adrenalina Mountin Dew,Energy,Local,Poland,Beverages,Jan,2017,NR,LY,-7.8
Chipita,Sweets,Other,Local,Netherlands,Snacks,Oct,2017,NR,Actual,-7.7
Star,Pretzel / Stick,Capture Family Fun,Local,Netherlands,Snacks,May,2017,Vol,LY,-7.6
Quaker,Bars,Other,Global,Portugal,Snacks,Mar,2017,Vol,Actual,-7.1
Quaker,Bars,Other,Global,Portugal,Snacks,Mar,2017,Vol,Fcst,-7.1
Sunbites,Grains,Other,Global,Poland,Snacks,May,2017,NR,Actual,-6.9
Doritos,Dippas,Deepen Youth Footprint,Global,Spain,Snacks,Jan,2017,Vol,LY,-6.3
Quaker,Bars,Other,Global,Portugal,Snacks,Dec,2017,Vol,LY,-6
Star,N&S,Capture Family Fun,Local,Poland,Snacks,Nov,2017,Vol,LY,-5.8
Balance,Snack A Jacks,Other,Local,Spain,Snacks,Jun,2017,NR,Actual,-5.5
Balance,Snack A Jacks,Other,Local,Spain,Snacks,Jun,2017,NR,Fcst,-5.5
Sunbites,Grains,Other,Global,Poland,Snacks,Apr,2017,NR,Fcst,-5.4
Sunbites,Grains,Other,Global,Poland,Snacks,Oct,2017,NR,Actual,-5.4
Balance,Snack A Jacks,Other,Local,Spain,Snacks,May,2017,Vol,Actual,-5.3
Balance,Snack A Jacks,Other,Local,Spain,Snacks,May,2017,Vol,Fcst,-5.3
Star,N&S,Capture Family Fun,Local,Poland,Snacks,Jan,2017,NR,Fcst,-5.1
Doritos,Dippas,Deepen Youth Footprint,Global,Spain,Snacks,May,2017,Vol,LY,-5.1
Star,Pretzel / Stick,Capture Family Fun,Local,Netherlands,Snacks,Jun,2017,Vol,LY,-5
Doritos,Dippas,Deepen Youth Footprint,Global,Spain,Snacks,Jan,2017,NR,LY,-4.8
7up,7-up - Diet,Flavors,Global,Spain,Beverages,Jan,2017,Vol,Actual,-4.8
7up,7-up - Diet,Flavors,Global,Spain,Beverages,Jan,2017,Vol,Fcst,-4.8
Doritos,Dippas,Deepen Youth Footprint,Global,Spain,Snacks,Jun,2017,NR,LY,-4.6
Sweet,Confectionary,Other,Local,Spain,Snacks,Sep,2017,Vol,Actual,-4.6
Other CSD,Slice,Flavors,Local,Poland,Beverages,Jun,2017,NR,LY,-4.5
Quaker,Bars,Other,Global,Portugal,Snacks,Jul,2017,Vol,LY,-4.3
Other CSD,Slice,Flavors,Local,Poland,Beverages,Jan,2017,Vol,Actual,-4.2
Other CSD,Slice,Flavors,Local,Poland,Beverages,Jan,2017,Vol,Fcst,-4.2
Sunbites,Grains,Other,Global,Poland,Snacks,Oct,2017,Vol,Actual,-3.9
Balance,Snack A Jacks,Other,Local,Spain,Snacks,Jul,2017,Vol,Actual,-3.8
Balance,Snack A Jacks,Other,Local,Spain,Snacks,Jul,2017,Vol,Fcst,-3.8
Sweet,Gum,Other,Local,Spain,Snacks,Nov,2017,Vol,Actual,-3.2
Sweet,Confectionary,Other,Local,Spain,Snacks,Oct,2017,Vol,Actual,-2.7
Balance,Snack A Jacks,Other,Local,Spain,Snacks,Sep,2017,NR,Actual,-2.5
Sweet,Gum,Other,Local,Spain,Snacks,Sep,2017,Vol,Actual,-2.5
Sweet,Gum,Other,Local,Spain,Snacks,Oct,2017,Vol,Actual,-2.4
Doritos,Fritos,Deepen Youth Footprint,Global,Spain,Snacks,Dec,2017,Vol,Actual,-2.4
Sweet,Confectionary,Other,Local,Spain,Snacks,Aug,2017,Vol,Actual,-2.3
Sweet,Confectionary,Other,Local,Spain,Snacks,Aug,2017,Vol,Fcst,-2.3
Balance,Snack A Jacks,Other,Local,Spain,Snacks,Dec,2017,NR,Actual,-2.2
Chipita,Sweets,Other,Local,Netherlands,Snacks,Oct,2017,Vol,Actual,-2
Sweet,Gum,Other,Local,Spain,Snacks,Dec,2017,Vol,Actual,-2
Doritos,Dippas,Deepen Youth Footprint,Global,Spain,Snacks,Apr,2017,Vol,LY,-1.8
Chipita,Sweets,Other,Local,Netherlands,Snacks,Dec,2017,Vol,Actual,-1.8
Balance,Snack A Jacks,Other,Local,Spain,Snacks,Nov,2017,Vol,Actual,-1.7
Lay's,Scoops,Build Lays Powerbrand,Global,Poland,Snacks,Dec,2017,Vol,Actual,-1.7
Star,N&S,Capture Family Fun,Local,Poland,Snacks,Dec,2017,NR,LY,-1.5
Star,N&S,Capture Family Fun,Local,Poland,Snacks,Jan,2017,Vol,Actual,-1.5
Star,N&S,Capture Family Fun,Local,Poland,Snacks,Jan,2017,Vol,Fcst,-1.5
Doritos,Dippas,Deepen Youth Footprint,Global,Spain,Snacks,Feb,2017,Vol,LY,-1.5
Sunbites,Grains,Other,Global,Poland,Snacks,Apr,2017,Vol,Actual,-1.3
Sunbites,Grains,Other,Global,Poland,Snacks,Apr,2017,Vol,Fcst,-1.3
Star,Pretzel / Stick,Capture Family Fun,Local,Netherlands,Snacks,Aug,2017,NR,LY,-1.2
Star,Pretzel / Stick,Capture Family Fun,Local,Netherlands,Snacks,Nov,2017,NR,LY,-1.1
Other Water,Water Gorska Natura/Krystalizne Zrodlo,Water,Local,Netherlands,Beverages,Feb,2017,Vol,LY,-1.1
Doritos,Dippas,Deepen Youth Footprint,Global,Spain,Snacks,Jun,2017,Vol,LY,-1
Star,N&S,Capture Family Fun,Local,Poland,Snacks,Oct,2017,Vol,LY,-1
Star,Pretzel / Stick,Capture Family Fun,Local,Netherlands,Snacks,Oct,2017,NR,LY,-0.9
Balance,Snack A Jacks,Other,Local,Spain,Snacks,Oct,2017,Vol,Actual,-0.8
Lay's,PC Stix,Build Lays Powerbrand,Global,Netherlands,Snacks,Dec,2017,Vol,Actual,-0.6
Star,Pretzel / Stick,Capture Family Fun,Local,Netherlands,Snacks,Oct,2017,Vol,LY,-0.4
Balance,Snack A Jacks,Other,Local,Spain,Snacks,Jun,2017,Vol,Actual,-0.4
Balance,Snack A Jacks,Other,Local,Spain,Snacks,Jun,2017,Vol,Fcst,-0.4
7up,7-up - Diet,Flavors,Global,Spain,Beverages,Jun,2017,Vol,Actual,-0.3
7up,7-up - Diet,Flavors,Global,Spain,Beverages,Jun,2017,Vol,Fcst,-0.3
Sunbites,Grains,Other,Global,Poland,Snacks,Jun,2017,NR,Actual,-0.3
Star,Pretzel / Stick,Capture Family Fun,Local,Netherlands,Snacks,Nov,2017,Vol,LY,-0.3
Sunbites,Grains,Other,Global,Poland,Snacks,Jun,2017,NR,Fcst,-0.3
Star,N&S,Capture Family Fun,Local,Poland,Snacks,Dec,2017,Vol,LY,-0.3
Balance,Snack A Jacks,Other,Local,Spain,Snacks,Sep,2017,Vol,Actual,-0.2
